,word,count
0,သူခိုး,1071
1,ဖွတ်,850
2,အကြမ်းဖက်,210
3,သူပုန်,156
4,စစ်ခွေး,149
5,ကြံ့ဖွတ်,139
6,ခွေးသား,82
7,ဖင်ယား,69
8,အောက်တန်းကျ,61
9,အောက်တန်းစား,56
10,ဗမာစစ်တပ်,43
11,ငလူး,41
12,မွတ်,38
13,အစွန်းရောက်,33
14,ဗမာတွေ,30
15,နီပေါ,26
16,ကုလားတွေ,25
17,စစ်အာဏာရှင်,20
18,နီပိန်း,20
19,၇၈၆,18
20,ကာပု,17
21,ခိုးဝင်,17
22,ဝူဟန်,17
23,ရွာသား,16
24,ခွေးဝဲစား,16
25,ထောင်ထွက်,15
26,ပြည်ထိုင်ခိုး,14
27,ထမီခြုံ,13
28,အပြုတ်တိုက်,11
29,အမျိုးယုတ်,10
30,ဘိန်းစား,9
31,အနီကြောင်,8
32,အဘဘောမ,7
33,ဘင်ဂါလီ,6
34,တစ်မတ်သား,6
35,မူဆလင်,6
36, ကြံ့ဖွတ်ပါတီ,5
37,အောက်တန်းကြ,4
38,မြို့သား,4
39,ငှက်စုတ်,4
40,မွတ်ဒေါင်း,3
41,တောသား ,3
42,AAသူပုန်,3
43,နီကြောင်,2
44,ဘင်္ဂါလီ,2
45,မြေသြဇာ,2
46,စောက်တရုတ်,2
47,ဗမာေတွ,2
48,မွတ်ကုလားတွေ,2
49,gwi,1
50,မျိုးဖြုတ်,1
51,ရခိုင်ကုလားတွေ,1
52,ငလူးပဲ,1
53,ဗလီတွေ,1
54,ခွေးဦးနှောက်,1
55,ရခိုင်အစွန်းရောက်,1
56,လူရိုင်း ,1
57,အစွန်းရောက်ရခိုင်,1
58,ဒီမိုခွေး,1
59,ဒေါ်လာစား,1
60,maru,1
61,မွတ်ကုလား,1
